icao24,r,t
491319,CS-DXY,C56X
c0407e,C-FYKZ,A343
401a33,G-BASH,AA5
4b16c0,HB-IQA,A332
401063,G-OCCP,DA40
4b1908,HB-JMM,A343
484359,P4-ARL,A319
4b198e,HB-JRQ,CL60
4b17a9,HB-IYZ,RJ1H
0100a2,SU-GCE,A332
43e724,M-FALC,F900
400fa7,G-KALS,CL30
4057b3,G-ZECH,CRUZ
3d3ed3,D-EWAT,AC11
400bbf,G-VMJM,TOBA
400de6,G-ISLB,JS32
400b4f,G-SALA,PA32
394720,F-GRZA,CRJ7
40111a,G-CEKA,R44
4d02a5,LX-JFP,P180
4021da,G-GEEP,
a5dcb4,N477SJ,GLF3
02005a,CN-ROB,B738
3cc0f4,D-CAJK,C56X
3430cc,EC-KLT,A320
401009,G-RRAZ,E135
3c48a9,D-ABEI,B733
a7e17a,N607CH,GLF5
4011f1,G-HRND,C182
4849cf,PH-RID,C680
4910cd,CS-DFM,C56X
a6d8ff,N540M,GLF5
4911b2,CS-DMR,BE40
4ca168,EI-CPT,
a7e531,N608CH,GLF4
45ac45,OY-KBE,A321
4.51e+26,LZ-BOV,B733
4401b4,OE-FLI,C340
391540,F-GFKA,A320
ae04d7,165829,B737
4401d8,OE-FKW,PRM1
400905,G-OSOE,A748
491217,CS-DPW,FA20
424241,VP-BZE,FA7X
4d02d9,LX-DEC,C680
a02596,N1086,GLF4
4ca28d,EI-SLA,
76cee6,9V-SWF,B77W
4ca611,EI-WXP,H25B
4248ef,VQ-BAX,A320
3c666f,D-AISO,A321
869122,JA780A,B77W
4b15ed,HB-IHX,A320
aa6735,N77FK,GLF4
49d053,OK-MEI,A320
300092,I-BIXK,A321
394650,F-GRSQ,A332
ab3849,N822A,GLF4
47840000,LN-RYG,C525
0a0020,7T-VJN,B738
478016,LN-BRO,B735
a0c87e,N15GT,CL30
4ca283,EI-FXB,
4c49e0,YU-SPA,C56X
a0379b,N113CS,GLF4
4689a3,SX-BMC,B734
04000e,ET-ALJ,B763
a33eda,N308UP,B763
4b9859,TC-FBY,A320
a2ce12,N280AY,A332
a37020,N320UP,B763
ae0812,00-0176,C17
a0a900,N14115,B752
a189a7,N199AN,B752
3c656f,D-AIKO,A333
a20433,N229UA,B772
30006d,I-BIXZ,A321
424158,VP-CMA,H25B
393de5,F-GPPF,FA50
4a91f2,SE-DOR,B736
394c15,F-GTAV,A321
3e4981,D-ITAN,C525
300067,I-BIXP,A321
8004db,VT-ALG,B77L
a134f1,N177UA,B744
06a02c,A7-ACE,A332
a4bcec,N404QS,GLF4
44d8ae,OO-VEN,B733
43c1c7,ZH885,C30J
4401a3,OE-FGL,C25A
3e255e,D-IFIS,C25A
3cb6d6,D-BMVV,F2TH
3c6610,D-AIPP,A320
4b186b,HB-JGL,GALX
a0a69a,N141CA,AEST
400d4a,G-CGRI,A109
ae04cf,62-3537,K35R
aca64f,N914J,GLF5
34334d,EC-KXS,H25B
06a062,A7-BAC,B77W
ae07ba,62-3557,K35R
3f8515,1021,A310
3f9962,50+98,C160
3c6662,D-AISB,A321
4ba8ee,TC-JGN,B738
400de2,G-JETO,C550
3cf68a,D-CURA,C25B
06a040,A7-AEF,A333
ae04ce,62-3524,K35R
a97c22,N710AW,C750
484058,PH-BFP,B744
c810a7,ZK-SUI,B744
47161c,HA-LOC,B738
43c5bd,ZJ648,AJET
42426f,VP-BJT,CL30
ae0672,63-8014,K35R
43e718,M-BWFC,C56X
ae1196,Mar-13,C17
4e+24,G-ZEXL,E300
400d3d,G-SIGN,
400964,G-SIRS,C560
a1bfb2,N21108,B752
478024,LN-BRV,B735
3f8519,1025,A310
a9561e,N700S,TBM7
4b167b,HB-INJ,GLEX
71038d,HZ-110,H25B
896200,A6-ARK,E190
502c57,YL-BDB,B752
ab185f,N814BP,PRM1
43c508,XZ608,LYNX
0d04c3,XA-AZT,GLF5
40017b,VP-BWP,A321
ae1459,Jun-55,C17
43c1ec,ZE432,BA11
4401da,OE-LVK,F100
400ec2,G-MAJU,JS41
39472b,F-GRZL,CRJ7
48455b,PH-BGD,B737
4b38e8,HB-VOI,PRM1
778566,YK-AKF,A320
405ba3,G-RAFX,BE20
4400ea,OE-HAC,C750
405bfd,G-YMMT,B772
02007d,CN-ROR,B738
343419,EC-LAQ,A320
a1ff06,N228DB,C750
400144,VP-BRM,B737
45ac46,OY-KBF,A321
4ca50f,EI-DTU,B735
4402a6,OE-GNY,H25B
a39588,N33XE,GLF5
400dc2,G-SASC,BE20
3e3558,D-ILKA,D228
4b18ec,HB-JLK,FA7X
0292a2,TS-IMC,A320
c057c3,C-GHGC,CL60
702001,S2-ACO,DC10
a80941,N617FE,MD11
a9cf10,N731DC,CL30
a19d28,N203A,GLF5
461f97,OH-LZB,A321
4402cc,OE-ILY,CRJ2
a153d6,N185GA,GLF5
10027,SU-GBO,A342
44ce6d,OO-SSM,A319
300169,I-BIMC,A319
4a81c4,SE-DRS,BE40
a2afba,N272UP,MD11
43e71e,M-HDAM,H25B
44918e,OO-DLN,B752
ae189a,May-13,B737
20027,CN-RNR,B737
a362a2,N317UP,B763
4910cf,CS-DFO,C56X
89610c,A6-ECE,B77W
71bc94,HL7494,B744
89611b,A6-ECT,B77W
a2cc84,N28KA,CL60
44d1ca,OO-TNJ,B733
acd615,N926SS,CL60
4401ba,OE-HKY,F2TH
a9e606,N737L,B737
a639ad,N50XJ,FA50
80041b,VT-ALD,B77L
a353c6,N313UP,B763
ac0f4a,N8762M,GLEX
ae059a,60-0319,K35R
4ac914,SE-RHT,B738
508147,UR-VVO,B763
30000a,I-DACZ,MD82
ae20c2,Jul-81,C17
484442,PH-BXU,B738
a06f49,N127SF,F900
3c6563,D-AIKC,A333
800393,VT-ALB,B77L
343107,EC-KNP,BE20
ae04ed,63-8035,K35R
491169,CS-DKI,GLF5
3944f1,F-GRHR,A319
4055b7,G-JASS,BE20
adfd6d,900528,SW4
484441,PH-JNE,C25B
a0aad0,N142HC,GLF4
ac3dd2,N888ZF,GLF4
461d37,OH-LBR,B752
440403,OE-HAA,CL30
43e76f,M-GLAS,BE9L
484411,PH-AOC,A332
a276bb,N258RP,BE58
aa5bc7,N767CM,BE36
400758,G-XXEA,S76
400fc1,G-GFEA,C172
3c488f,D-ABDO,A320
400cfd,G-UIST,JS31
adfeef,160051,DC93
7380a4,4X-EAD,B762
ae035a,57-2593,K35R
a8466b,N632NW,B742
394c03,F-GTAD,A321
3cc5ea,D-CCGG,LJ60
44031b,OE-ISM,F900
ae0568,86-0011,C5
406153,G-CFYT,BE58
400939,G-FCDB,C550
4009d6,G-FRAW,FA20
42403e,VP-BHR,GLF3
06a03d,A7-AED,A333
a47557,N387AM,B763
a5e6ec,N48GX,GALX
4ca021,EI-CDD,B735
400fa9,G-SVSB,C680
3ce078,D-CMHS,C25B
3ce8dc,D-CPMI,C25B
4841ba,PH-KZR,F70
896202,A6-ASQ,CL60
43c28c,XW210,PUMA
a6ff56,N55ZE,
ae1893,72-1299,C130
4b16ce,HB-IQO,A332
300064,I-BIXL,A321
3cf42d,D-CTTT,C56X
ae07cf,89-1191,C17
502c58,YL-BDC,B752
4aadec,SE-KOL,BE30
43e7a4,M-VRNY,GLF5
a21b74,N235DX,GLF5
4b39c0,HB-VWQ,E50P
40110d,G-BVCM,C525
4b178b,HB-IXV,RJ1H
4000000000,G-MAJT,JS41
899102,B-18716,B744
aae38a,N800TD,GLF3
44c30c,OO-PXL,P68
a72ad7,N561CD,SR22
40122e,G-SPVK,AS50
20057,CN-RNZ,B738
392f2b,F-GLZL,A343
342592,EC-KJD,A320
a2e615,N286UP,MD11
3ccdb7,D-CFFB,LJ60
a3bde1,N340FX,CL60
a690de,N522FE,MD11
867534,JA705J,B772
449a02,OO-FPB,C550
403bc3,G-ZAPH,B06
4b19a6,HB-JSO,FA7X
3c61e9,D-AHOI,B463
3e1fa0,D-IDEE,AEST
4009d3,G-FRAS,FA20
aae43a,N8000E,
a0716c,N128AB,GLF4
3ccafc,D-CEEE,C56X
aacab2,N795BA,GLF5
4a8199,102004,GLF4
ac7699,N902,GLF4
4d021f,LX-VPG,CL30
4240a5,VP-BPA,B735
a6af41,N53NA,E135
3c4e4a,D-ACRJ,CRJ2
a2682a,N254UP,MD11
a3918f,N329UP,B763
44046b,OE-GXX,LJ40
008c75,ZS-ESA,GLEX
461f64,OH-LXC,A320
a2dea7,N284UP,MD11
8990d5,B-16706,B77W
3c4e0d,D-ACPM,CRJ7
a63943,N50TC,B737
a4bb80,N404AC,GLF4
42409c,VP-BRW,A321
405f0e,G-EZFF,A319
3cc381,D-CBIN,
45ce50,OY-SRP,B762
4910c7,CS-DFG,F900
ae10b5,01-0186,C17
4845ac,PH-AOL,A332
4ca510,EI-FXI,AT72
c2b3af,144616,CL60
4840cf,PH-BFT,B744
484410,PH-AOB,A332
780223,B-HKX,B744
a479a9,N388GS,F900
395702,F-GVYC,C56X
3000c7,I-BIKC,A320
a2c272,N277WA,MD11
300020,I-DACS,MD82
43e76e,M-GBAL,GLEX
4ca787,EI-JJJ,H25B
8004da,VT-ALF,B77L
405abd,G-HCGD,LJ45
3e39e2,D-INCS,C525
45b824,OY-NAD,CL60
a140c7,N180BB,C180
4d02d8,LX-JCD,C56X
48403d,PH-BFI,B744
800404,VT-SBK,F900
44038c,OE-FLR,C510
4911b4,CS-DMT,BE40
a2cd40,N28SP,C550
3e1811,D-IAHT,MU2
a16ee0,N19141,B752
40608f,G-EUNA,A318
3b77dd,201,E3CF
405eef,G-PTRI,C182
ae12b2,66-0220,C130
a6d6d9,N54PA,
c81370,ZK-NBV,B744
402172,G-OAMG,B06
404845,G-CTIO,TRIN
7c4774,VH-OEE,B744
ae0593,58-0113,K35R
440069,OE-HMS,D328
400bd2,G-EMDM,DA40
a0985f,N1376C,
300029,I-DANW,MD82
48403e,PH-BFK,B744
8004de,VT-ALP,B77W
400edf,G-BYVB,G115
44f5a2,CM-02,FA20
4783cf,LN-RNO,B737
45aa85,OY-JTE,B733
4009cc,G-FRAJ,FA20
300399,I-DMSB,PRM1
43c264,ZJ207,H64
43c27d,ZJ232,H64
a03b2c,N114BD,LJ60
ad52b6,N958DM,F900
a1f018,N224CJ,C525
ae1197,Mar-14,C17
3412c9,EC-HJP,B738
ae066f,62-3580,K35R
a99db2,N719CD,SR22
ae0807,99-0061,C17
49d04f,OK-UNI,C680
4001bd,VP-BIF,B721
4b163d,HB-IKZ,GLEX
3c646b,D-AICK,A320
3cd2cc,D-CHDC,C680
3ce964,D-CPRO,LJ31
4b1898,HB-JIE,MD90
aa929c,N780XJ,C750
ab705b,N836TP,BE36
a7e83e,N60864,BE58
400b22,G-OMAF,D228
400983,G-MAJA,JS41
39472a,F-GRZK,CRJ7
39452f,F-GRJP,CRJ1
43e7d0,M-TSGP,C25A
4b38c7,HB-VNB,C560
43c389,ZG993,BN2T
4b3ef6,HB-XVY,AS32
4009c8,G-FFRA,FA20
ae074f,163843,BE20
42406f,VP-BJA,CL60
43c4f4,XZ196,LYNX
392284,F-GIUE,B744
400c2c,G-CBAL,P28A
06a09f,A7-RZC,CL60
4400fb,OE-HRR,CL30
400143,VP-BWR,B737
471803,HA-FAD,F27
78048c,B-6130,A332
4b10d5,HB-GJT,BE30
4059f2,G-IRSH,E135
33ffea,MM62186,C30J
43c241,ZJ172,H64
502c45,YL-BBP,B735
393111,F-GMIR,C25A
4ca522,EI-DTW,B735
3c5e0b,D-AGPK,F100
45c948,OY-RJH,CRJ2
4ca720,EI-ECE,H25B
505df0,OM-OPA,C25B
e40141,2582,E135
3c5966,D-AFKF,F100
a6368a,N5PG,GLF5
39816e,F-HALO,C550
c05853,C-GHLQ,B763
a69495,N523FE,MD11
89402a,A9C-KB,A332
a80e70,N618WF,GLEX
ae1233,Mar-22,C17
15407a,RA-82042,A124
710391,HZ-101,B738
40579c,G-HEBJ,C525
4ca2fb,EI-REJ,AT72
4ba88a,TC-JDJ,A343
a80099,N61442,C56X
a12be0,N175BG,GLF3
ac6321,N898AW,GLF4
ab4b20,N827CT,FA50
3a4584,F-ORME,A321
a97681,N709FG,GLEX
ae07ab,60-0331,K35R
a4b8f6,N403ND,C25B
43e7c7,M-DINO,C525
45d961,OY-VKA,A321
44040e,OE-GVV,LJ60
47834b,LN-TUK,B737
a3f6d3,N3546,GLF5
44d999,OO-VLY,F50
ae058d,58-0016,K35R
4ca2da,EI-DLN,B738
43c009,ZH866,C30J
4844a5,P4-BUS,C750
400178,VP-BWM,A320
a173cd,N193F,F900
4b1754,HB-IVS,CL60
4018000000,G-AYPU,P28R
401a7c,G-BATN,PA23
4012ff,G-CEUO,C550
4b8429,TC-AAI,B738
405703,G-TSAC,SIRA
a21514,N233QS,F2TH
0d0152,XA-APB,B763
40078b,G-BYDY,BE58
4911d3,CS-DNS,F2TH
4b183b,HB-JEP,GLF5
40122d,G-CJDB,C525
a59904,N46U,PA46
491111,CS-DHQ,C550
43e76a,M-GPIK,FA50
43e78d,M-ABCD,FA20
403b17,G-BWHF,PA31
48401e,PH-BDC,B733
a4527d,N378L,GLF5
4d2047,9H-SNA,A319
a1404d,N18WF,GLEX
401dac,G-BGKV,P28A
43e78a,M-DSCL,E135
8960000,A6-EDB,A388
508123,UR-GAT,B735
40123b,G-JAKI,M20P
3e1e76,D-ICSS,C525
800547,VT-JBL,B738
43e7a8,M-ONTI,BE9L
40125b,G-ECOU,AS50
a11fc1,N17133,B752
400f0a,G-NTWK,AS55
a12598,N173PA,GLF3
43c2b4,ZZ418,B350
a56122,N446CJ,C25A
a3321a,N305CC,GLEX
43c26b,ZJ214,H64
78021b,B-LIE,B744
3ce25a,D-CNAG,SW4
34241a,EC-JXJ,A319
a8171e,N620K,GLEX
43c200,ZE416,A109
30014e,I-GIWW,C550
48434e,P4-SNT,H25B
44c9e2,OO-ROB,AC90
43c270,ZJ219,H64
39452e,F-GRJO,CRJ1
406063,G-CFWV,RV7
51106a,ES-LBC,B733
869166,JA782A,B77W
899104,B-18718,B744
405ba2,G-RAFD,BE20
4012d1,G-OJAJ,F2TH
398a33,F-HCRT,C550
353508,T.18-2,F900
a2d739,N282UP,MD11
400811,G-SPOR,BE20
403f3a,G-NPKJ,RV6
44021b,OE-GPO,C25B
40290c,G-TREE,B06
33ffad,MM62245,F900
44920d,OO-DPM,B752
adce13,N989RJ,GLEX
400f91,G-MEET,LJ45
393c00,F-GPAA,FA20
300007,I-DACT,MD82
c06ce4,C-GPGD,CL60
8003ff,VT-DLF,GLF4
4b1870,HB-JGQ,CL30
30016e,I-BIML,A319
400b0c,G-CCYG,R44
78021c,B-LIF,B744
44914f,OO-DJO,RJ85
a2d382,N281UP,MD11
a22fdd,N24YS,GLF2
39914e,F-HEKO,C25A
47162b,HA-LOU,B738
3000cb,I-BIKG,A320
44d1cb,OO-TNK,B733
0100a4,SU-GCG,A332
a753f0,N571UP,B744
aa0ca1,N747AX,B762
424058,VP-BQX,A320
401005,G-TEBZ,P28A
343196,EC-KVD,B733
c2afc7,177702,C17
a7d7c1,N604SX,CL60
3c4941,D-ABJA,B735
406010,G-EZTF,A320
440005,OE-LFL,F70
400159,VP-BWH,A320
c0172e,C-FIUF,B772
3c4943,D-ABJC,B735
501d8f,9A-CDC,MD82
06a05d,A7-AEM,A333
c07727,C-GTDE,LJ35
4b182f,HB-JED,E135
3c64c3,D-AIFC,A343
3432d6,EC-KXD,E190
c00964,C-FDOL,CL30
e481fb,PT-SER,E135
a08f5b,N135SG,E135
400cf3,G-RAGT,PA32
a7011c,N550TH,F900
48436f,PH-BQH,B772
440050,OE-LBR,A320
400fc5,G-BHBG,P32R
aa21d3,N752DS,DA40
40091c,G-KDMA,C560
a40af4,N36LG,GLEX
4783a3,LN-KKM,B733
a321ac,N3000B,TEX2
4b388e,HB-VKW,H25B
40015c,VP-BKQ,B430
a9aeb3,N723AB,GLEX
3c4888,D-ABDH,A320
a19d4f,N203BP,PRM1
405afd,G-OMBI,C25B
401280,G-WTWO,A210
a39621,N330DG,
a6c59b,N53517,PA46
3c4e4c,D-ACRL,CRJ2
76ccc2,9V-SFB,B744
4b847a,TC-ACZ,A30B
4240ea,VP-BYJ,B735
ae051e,68-0217,C5
3c5ee3,D-AGWC,A319
402a3d,G-PDSI,C172
a00505,N100DF,GLF4
a9b8b1,N7251Y,BE36
3d0d0c,D-EDEQ,
400a98,G-GAJB,AA5
3e419a,D-IQAS,PAY4
3ca561,D-BIKA,F2TH
4ca0c8,EI-CRD,B763
4bb66f,TC-MSO,B738
400dca,G-HDEF,R44
a69bde,N525DT,C25A
ae0803,98-0057,C17
ae146a,Jul-72,C17
4.05e+64,G-CRAR,CRUZ
3c1195,D-AVRC,RJ85
aa0a65,N746SA,B742
402302,G-EJOC,AS50
40121d,G-NODE,AA5
ae1198,Mar-15,C17
4024f8,G-BLYD,TRIN
3cc248,D-CAWM,C56X
43c106,XV177,C130
ae0558,70-0467,C5
4011f2,G-TPSL,C182
400081,VP-CCR,CL60
4400ca,OE-LVA,F100
4841d8,PH-XRY,B737
8960d8,A6-EBQ,B77W
33ffff,MM62171,F900
3986,F-HBXA,E170
400e8a,G-ASIT,C180
aa7d3c,N775ST,F2TH
47805c,LN-BUE,B735
4844,PH-OFP,F100
4b17b0,HB-IZG,SB20
4d0128,LX-SCV,B744
342115,EC-JAB,A320
02e386,TS-IAM,CL60
3c4b19,D-ABXY,B733
20066,CN-ROE,B738
393ee6,F-GPXG,F100
4a80d0,102001,GLF4
4bcc22,TC-SAB,CL60
a03541,N112SR,SR22
4bbdd0,TC-ONP,MD88
02006f,CN-ROH,B738
458906,OY-BHF,PA31
3cf1c9,D-CSWF,SW4
20012,CN-RNH,B735
c0054d,C-FCAE,B763
3950d0,F-GUGQ,A318
780274,B-6073,A332
34138b,EC-HDN,A320
04001d,ET-AMG,B763
8990db,B-16712,B77W
aca5f2,N914EG,GLF4
4950a9,CS-TEI,A310
a8d00d,N667US,B744
4b1843,HB-JEX,GLEX
440c6f,OE-HIT,FA50
73808b,4X-AXL,B742
78014f,B-HUP,B744
4402d5,OE-IFG,GL5T
c2b369,144617,CL60
4ca75d,EI-EFB,B738
8961a3,A6-EYN,A332
0d0387,XA-GPR,CL30
a9c9c5,N73M,GLF5
3950cd,F-GUGN,A318
a04699,N117EA,EA50
a1f3fd,N225EE,GLF5
440c8d,OE-LBB,A321
ae025b,163692,GLF3
400bc9,G-DAFY,BE58
402058,G-BKMB,M20P
404d2f,G-TVEE,H500
405b9e,G-MRDS,CRUZ
a9fdc5,N743AX,B762
400c07,G-ZARI,AA5
400c02,G-OAPE,C303
3e1949,D-IATT,PRM1
a9516e,N7SB,C750
ae0816,00-0180,C17
aa6fdb,N7715X,C525
4ca027,EI-CDH,B735
424180,VP-CNY,GLEX
440333,OE-FHA,C510
401298,G-HOLM,EC35
a25781,N250AC,PA31
a6da0a,N540XS,
5080f2,UR-GAP,B734
400ce7,G-BNYB,P28A
400557,G-BPEK,B752
4d00f9,LX-LGY,E145
341207,EC-GOV,C560
ae1171,02-1099,C17
a067c0,N125RD,B763
506c8d,S5-BAV,C56X
3e225a,D-IEFA,C25A
0a004a,7T-VKB,B738
3da5d6,D-GJBA,PA34
4ca654,EI-UNA,B763
a4c73b,N407GC,GLF4
4005000,G-CIVH,B744
a5708d,N45JB,FA20
01006d,SU-AXN,FA20
86eeba,JA8922,B744
8991a4,B-18725,B744
4052ff,G-CEZZ,FDCT
40565f,G-FICS,FDCT
3c484b,D-ABBK,B738
385df8,F-BXPY,BE9L
4692d1,SX-DVQ,A320
401f21,G-BIOA,H500
00c230,ZS-ZBB,GLEX
395561,F-GVLB,BE30
4603c5,OH-BLD,MD90
740424,JY-AAD,CL60
44039c,OE-HRM,CL30
394526,F-GRJG,CRJ1
a020b9,N107WR,PRM1
4ca7a8,EI-EFR,B738
402330,G-TYGA,AA5
3410ce,EC-ICR,A320
44030,OE-INT,CL60
a6aec0,N53GX,GLEX
400de9,G-XXRS,GLEX
4012a5,G-OKTI,A210
ac70ad,N900RK,
ae03e3,164996,C130
a83e53,N630GA,GALX
300043,I-DATG,MD82
3950cc,F-GUGM,A318
402132,G-IEJH,D150
400fdf,G-EZBN,A319
3944f8,F-GRHY,A319
a95599,N700LS,GLEX
501dc6,9A-CLN,C25A
a193d3,N200UP,FA50
780142,B-HOY,B744
7101fc,HZ-DME,F900
400659,G-BIKN,B752
76cee9,9V-SWI,B77W
46bc2a,SX-OAJ,A319
440211,OE-HII,CL30
867f60,JA731A,B77W
39452a,F-GRJK,CRJ1
71038e,HZ-130,H25B
424266,VP-BJK,GLF5
4841d7,PH-XRZ,B737
899084,B-16108,MD11
393975,F-GOLV,FA50
7380a6,4X-EAF,B762
4bb5c3,TC-MNC,A30B
4057f1,G-KSFR,CL30
30003d,I-DATU,MD82
ae0655,58-0084,K35R
4ca665,EI-WFO,
4ca571,EI-DWL,B738
aae042,N80HQ,C510
a9b71b,N725LB,GLEX
4001f9,VP-CGC,F2TH
a1c36b,N2121,B737
76ce08,9V-SPH,B744
ae0144,58-0060,K35R
4b1f13,HB-LTZ,P180
4b8428,TC-AAH,B738
484382,PH-OFG,F100
4b0ed3,HB-FPZ,PC12
4bcd67,TC-SKG,B734
a952ae,N70EW,GLEX
45c943,OY-RJC,CRJ2
45c942,OY-RJB,CRJ2
4ba8ca,TC-JFJ,B738
ae1177,02-1105,C17
461d3b,OH-LBV,B752
ae022c,86-0035,DC10
3c612a,D-AHIJ,A319
4b38eb,HB-VOL,C25A
c0501e,C-GEIV,GLF4
40081a,G-LUXE,B463
20098,CN-NMB,A320
43c0a5,XR808,VC10
a864a7,N64UC,CL60
4001ae,VP-BSO,F900
400f03,G-JOAL,BE20
49110a,CS-DHJ,C550
4ca732,EI-ECX,A319
508118,UR-GAR,B735
ae20c4,Jul-83,C17
a63713,N5UU,GLEX
71bf49,HL7749,GLEX
400010,ZJ518,NIM
4b38f6,HB-VOW,C25B
ae013d,64-14839,K35R
a7dd9b,N606AT,C650
300090,I-BIXH,A321
405a56,G-OCSE,CL60
ae052d,69-0007,C5
393269,F-GMTJ,C510
40081b,G-OMYT,A332
a9729e,N708DN,B772
43c3d1,ZD467,HAR
ac1d5d,N88VF,PA34
aaa713,N786CS,
400c43,G-EZIA,A319
3985cc,F-HBOM,H25B
76cee8,9V-SWH,B77W
43c2f1,XS712,H25A
4b3898,HB-VLG,H25B
4b178d,HB-IXX,RJ1H
440338,OE-GSZ,C56X
395d82,F-GXMC,FA50
405f27,G-WEAT,R44
ae1172,02-1100,C17
3c119e,D-AVRL,RJ85
a3c906,N343FX,CL60
392439,F-GJBZ,FA50
506c8f,S5-BAW,C25B
4055aa,G-OSVM,C560
342055,EC-IRZ,GLF5
3e358a,D-ILLY,C525
14fa2f,RA-64047,T204
4d028e,LX-ONE,LJ35
480c18,U-05,F50
480c01,T-235,DC10
43e783,M-PRVT,C750
42494a,VQ-BPH,H25B
4005c2,G-BNWY,B763
02006b,CN-ROG,B763
43c2b7,ZH001,BN2T
458c6a,OY-CCJ,LJ35
a35a81,N315MK,GLF4
4d0224,LX-ZXP,FA7X
45c949,OY-RJI,CRJ2
502c21,YL-BBA,B735
a1744b,N193LA,GLEX
30011f,I-FLYV,F2TH
80047f,VT-MST,GLF4
4843d9,PH-XRV,B737
43c0ab,ZA148,VC10
0a0019,7T-VJK,B738
a199c2,N202DF,C680
449123,OO-DIC,A30B
3c4aa2,D-ABUB,B763
a9af32,N723FD,A306
44d1c6,OO-TNF,B733
406175,G-LGKD,GLF5
300359,I-AIGH,B762
a38513,N326EW,F2TH
c043b4,C-FZQP,LJ35
a7d2a7,N603CS,GLF4
401054,G-OZOI,C182
43e7b1,M-TRIX,CL60
a66289,N510MG,GLF4
47803b,LN-RLR,MD82
a56fc6,N45AC,GLF4
44d8b8,OO-VEX,B733
a49114,N39356,B763
3e1bda,D-IBTA,BE20
43c2a7,ZA937,PUMA
30030a,I-FORU,LJ45
aa78ce,N774KK,GLEX
449b27,OO-FYG,C550
a5e77d,N48NS,C550
a150ff,N184R,CL30
4ca18b,EI-JIV,
a0bba5,N1462N,C182
4b1a5b,HB-JZN,A319
c02865,C-FPHS,B735
a4ec6a,N416WM,GLF3
4ac938,SE-RIX,C525
44d998,OO-VLX,F50
43c525,XZ677,LYNX
4844b7,P4-UNI,CL60
a0a10c,N14HF,
45b501,OY-MHA,F2TH
a49cd7,N397AN,B763
06a060,A7-AEN,A333
ae0367,63-8011,K35R
a954a6,N700AZ,TBM7
300160,I-DDVF,F2TH
40112e,G-WACI,BE76
a8e165,N671WB,
401259,G-HEHE,EC20
44f4a3,CE-03,E145
43e760,M-TSRI,BE9L
4240db,VP-BUM,A321
4b0f14,HB-FSM,PC12
a8e16f,N671WM,F2TH
380d3b,F-RADC,A310
4499000000000,OO-FOI,F900
a6fff6,N550FP,C550
a13e60,N18AN,GLF4
508190,UR-CGW,AN12
401194,G-EMLI,CL60
40568a,G-CEYK,EUPA
49d0af,OK-CGJ,B735
4d203a,9H-AFM,A318
a8ec20,N674RW,GLF5
4ac8d0,SE-RFP,B752
3fedaf,D-MPGB,G3
4048f2,G-DDBD,EUPA
400ded,G-RULE,R44
43c2cb,XZ721,LYNX
ac76a1,N902AG,CL60
34320d,EC-KRJ,E190
4b1b4e,HB-KIW,BE33
4.01e+77,G-BHOR,P28A
71bc15,HL7415,B744
400d07,G-PVPC,PC12
4240d9,VP-BFT,B737
440346,OE-FKO,C25A
400a9a,G-STRH,B737
a53ad7,N436QS,GLF4
401eaf,G-BHYP,C172
4ca058,EI-CHH,B733
ad1cb3,N944H,GLF5
341657,EC-IMB,A320
391549,F-GFKJ,A320
ae020a,79-1711,DC10
a61187,N490QS,GLF4
400183,VP-BUF,B763
4690ed,SX-DGM,E135
a27abd,N259UP,MD11
a3fb40,N356BR,GLF3
78044f,B-6117,A332
ac8abf,N907SB,
300288,I-TOPH,H25B
43c09b,ZJ690,GLEX
78015b,B-HXA,A343
a7cb14,N601BE,CL60
4248f7,VQ-BBF,A332
ae0698,165153,GLF4
4ca286,EI-FXE,
a13e8e,N18CJ,GLF4
472006,HA-TCM,AN26
ac70d2,N900SX,F900
4011c4,G-TGDL,R44
300040,I-DACR,MD82
a0c88a,N15HE,GLF3
ae01cc,62-4131,R135
702030,S2-AEV,P180
400df2,G-IFTE,H25B
a4380d,N371FP,GLF4
449206,OO-DPF,B752
342452,EC-JTH,C551
ae10b6,01-0187,C17
a0bd93,N147KA,SR22
a6de19,N54105,SR22
4046d6,G-CBME,C172
4b0ecb,HB-FPR,PC12
491255,CS-DRU,H25B
150692,RA-67218,CRJ2
3c4895,D-ABDU,A320
43c287,XW204,PUMA
40120a,G-LANS,C182
a6a3ba,N527JC,GLF4
491245,CS-DRE,H25B
3c5ee7,D-AGWG,A319
a1fdd2,N2273Q,P28A
44cc36,OO-SAV,C56X
406124,G-SPTR,R44
300177,I-DISU,B772
4b38e2,HB-VOC,C560
4783a8,LN-RRM,B737
3855ed,F-BVPN,FA20
39124f,F-GESP,F2TH
43c09f,ZJ694,GLEX
484a88,PH-ORJ,C510
400c56,G-TERY,P28A
4ba904,TC-JHD,B738
400c7a,G-JETX,B06
4011c7,G-EMMM,DA40
4c01af,YU-ANP,B732
a05408,N120DL,B763
ae07f0,96-0006,C17
ae01ae,84-0085,LJ35
400dd4,G-CTCD,DA42
4058c6,G-JOKR,E300
4b39b5,HB-VWF,C525
ab44bb,N825PH,DH8A
40522b,G-NWFC,C172
142329,RA-09001,F900
3c56e4,D-AEWD,B462
400b96,G-HPSB,AC11
43c0ae,ZJ783,AS65
74072a,JY-AYJ,A321
342590,EC-KFI,A320
89911c,B-18723,B744
401ea4,G-BHWY,P28A
43e728,M-ACPT,H25C
e400a6,2401,B703
